loss: 0.31828269362449646, ssim: 0.9622310996055603, psnr: 53.129608154296875
loss: 0.33075234293937683, ssim: 0.9611652493476868, psnr: 52.97075271606445
loss: 0.32624098658561707, ssim: 0.9613298773765564, psnr: 53.00783920288086
loss: 0.34501588344573975, ssim: 0.9591466784477234, psnr: 52.78622055053711
loss: 0.33039358258247375, ssim: 0.9607769846916199, psnr: 52.96440505981445
loss: 0.33754962682724, ssim: 0.9600618481636047, psnr: 52.86495590209961
loss: 0.3479664921760559, ssim: 0.9585183262825012, psnr: 52.75440216064453
loss: 0.3391053080558777, ssim: 0.9596012234687805, psnr: 52.843502044677734
loss: 0.3207049071788788, ssim: 0.9621738791465759, psnr: 53.086158752441406
loss: 0.34689268469810486, ssim: 0.958640992641449, psnr: 52.76411056518555
loss: 0.3233550786972046, ssim: 0.961871325969696, psnr: 53.05897903442383
loss: 0.32778626680374146, ssim: 0.9610487222671509, psnr: 53.02450180053711
loss: 0.358575701713562, ssim: 0.9571199417114258, psnr: 52.60964584350586
loss: 0.35115689039230347, ssim: 0.9579371809959412, psnr: 52.69893264770508
loss: 0.34113773703575134, ssim: 0.9597582817077637, psnr: 52.8214111328125
loss: 0.33472785353660583, ssim: 0.9596731066703796, psnr: 52.9138298034668
loss: 0.329949289560318, ssim: 0.9608415961265564, psnr: 52.97796630859375
loss: 0.35321617126464844, ssim: 0.9578067660331726, psnr: 52.67129135131836
loss: 0.34277451038360596, ssim: 0.9591062664985657, psnr: 52.80978012084961
loss: 0.3315054178237915, ssim: 0.9609144330024719, psnr: 52.950801849365234
loss: 0.355792373418808, ssim: 0.9575196504592896, psnr: 52.64933395385742
loss: 0.3381321132183075, ssim: 0.9596976637840271, psnr: 52.873775482177734
loss: 0.32830116152763367, ssim: 0.9612631797790527, psnr: 53.00146484375
loss: 0.3375726342201233, ssim: 0.9597855806350708, psnr: 52.876258850097656
loss: 0.33796244859695435, ssim: 0.9599526524543762, psnr: 52.86747360229492
loss: 0.34231820702552795, ssim: 0.9593861699104309, psnr: 52.80781936645508
loss: 0.33787068724632263, ssim: 0.9599486589431763, psnr: 52.86317825317383
loss: 0.36285755038261414, ssim: 0.9565755724906921, psnr: 52.55654525756836
loss: 0.3427863121032715, ssim: 0.9591197371482849, psnr: 52.8087272644043
loss: 0.3573875427246094, ssim: 0.9570841193199158, psnr: 52.6558952331543
loss: 0.3496408760547638, ssim: 0.9584180116653442, psnr: 52.707515716552734
loss: 0.32007065415382385, ssim: 0.9622127413749695, psnr: 53.124542236328125
loss: 0.31330353021621704, ssim: 0.9631025195121765, psnr: 53.19861602783203
loss: 0.3348316252231598, ssim: 0.9600200653076172, psnr: 52.92817306518555
loss: 0.3359754979610443, ssim: 0.960179328918457, psnr: 52.8932991027832
loss: 0.3388550281524658, ssim: 0.9598696827888489, psnr: 52.8651237487793
loss: 0.32516244053840637, ssim: 0.9615004658699036, psnr: 53.01823043823242
loss: 0.3324272930622101, ssim: 0.9603978395462036, psnr: 52.9453125
loss: 0.3346230387687683, ssim: 0.9602771997451782, psnr: 52.94074249267578
loss: 0.3610609173774719, ssim: 0.9569166302680969, psnr: 52.59176254272461
loss: 0.33374810218811035, ssim: 0.9602763056755066, psnr: 52.9274787902832
loss: 0.341450959444046, ssim: 0.9594498872756958, psnr: 52.81978988647461
loss: 0.3356824815273285, ssim: 0.9603418707847595, psnr: 52.9194450378418
loss: 0.3270593285560608, ssim: 0.9612242579460144, psnr: 53.0050163269043
loss: 0.3305354118347168, ssim: 0.9610397219657898, psnr: 52.945960998535156
loss: 0.3634313941001892, ssim: 0.9565186500549316, psnr: 52.55706787109375
loss: 0.33099108934402466, ssim: 0.9608421325683594, psnr: 52.96571731567383
loss: 0.35222679376602173, ssim: 0.9578960537910461, psnr: 52.6822624206543
loss: 0.3433718979358673, ssim: 0.9590960741043091, psnr: 52.7984504699707
loss: 0.318689227104187, ssim: 0.962232232093811, psnr: 53.152156829833984
loss: 0.34868547320365906, ssim: 0.9581542015075684, psnr: 52.724727630615234
loss: 0.3444401025772095, ssim: 0.9590824246406555, psnr: 52.79465866088867
loss: 0.32501503825187683, ssim: 0.9614800810813904, psnr: 53.0185432434082
loss: 0.3380795121192932, ssim: 0.9601077437400818, psnr: 52.86257553100586
loss: 0.32935264706611633, ssim: 0.9607656598091125, psnr: 52.9840087890625
loss: 0.33834347128868103, ssim: 0.9598196148872375, psnr: 52.8851318359375
loss: 0.33285877108573914, ssim: 0.9607794880867004, psnr: 52.923583984375
loss: 0.34709280729293823, ssim: 0.9585040211677551, psnr: 52.73897171020508
loss: 0.34715157747268677, ssim: 0.9584096074104309, psnr: 52.776214599609375
loss: 0.33670809864997864, ssim: 0.9601309895515442, psnr: 52.883033752441406
loss: 0.3397027552127838, ssim: 0.9595354199409485, psnr: 52.83724594116211
loss: 0.326045423746109, ssim: 0.9613479971885681, psnr: 53.020606994628906
loss: 0.3551047444343567, ssim: 0.9573380351066589, psnr: 52.64493942260742
loss: 0.35974961519241333, ssim: 0.957061767578125, psnr: 52.58988571166992
loss: 0.32013386487960815, ssim: 0.9621550440788269, psnr: 53.11346435546875
loss: 0.3278535306453705, ssim: 0.9611873626708984, psnr: 52.99715805053711
loss: 0.36364826560020447, ssim: 0.9562087059020996, psnr: 52.54439926147461
loss: 0.33955132961273193, ssim: 0.9596482515335083, psnr: 52.86179733276367
loss: 0.3488787114620209, ssim: 0.9580842852592468, psnr: 52.725990295410156
loss: 0.32358893752098083, ssim: 0.9618694186210632, psnr: 53.05412673950195
loss: 0.33581677079200745, ssim: 0.9601693153381348, psnr: 52.902862548828125
loss: 0.34300994873046875, ssim: 0.9590619206428528, psnr: 52.802101135253906
loss: 0.34985148906707764, ssim: 0.9581137895584106, psnr: 52.727108001708984
loss: 0.35501763224601746, ssim: 0.9574831128120422, psnr: 52.66383743286133
loss: 0.3321751654148102, ssim: 0.9606849551200867, psnr: 52.95954132080078
loss: 0.33674007654190063, ssim: 0.9601008296012878, psnr: 52.90671920776367
loss: 0.35979434847831726, ssim: 0.957087516784668, psnr: 52.58172607421875
loss: 0.3360435664653778, ssim: 0.9599834680557251, psnr: 52.912086486816406
loss: 0.022085532546043396, ssim: 0.9986235499382019, psnr: 64.6957015991211
loss: 0.02209448255598545, ssim: 0.9986457228660583, psnr: 64.68941497802734
loss: 0.02260146662592888, ssim: 0.9986187815666199, psnr: 64.59547424316406
loss: 0.022741271182894707, ssim: 0.9986216425895691, psnr: 64.56703186035156
loss: 0.022245997563004494, ssim: 0.9986538887023926, psnr: 64.66118621826172
